Rank,Name,Symbol,Price,24h%Change,MarketCap
1,Bitcoin,BTC,"$104,105.21",-1.28%,$2.07T
2,Ethereum,ETH,"$2,533.80",-2.36%,$306.01B
3,Tether,USDT,$1.00,0.02%,$153.1B
4,XRP,XRP,$2.15,-1.35%,$126.89B
5,BNB,BNB,$658.14,-1.94%,$92.73B
6,Solana,SOL,$155.32,-4.12%,$81.12B
7,USDC,USDC,$0.9998,0.00%,$61.04B
8,Dogecoin,DOGE,$0.1931,-5.15%,$28.88B
9,TRON,TRX,$0.2690,-1.29%,$25.52B
10,Cardano,ADA,$0.6764,-4.01%,$23.9B
11,Hyperliquid,HYPE,$32.67,-0.79%,$10.91B
12,Sui,SUI,$3.19,-7.26%,$10.65B
13,Chainlink,LINK,$13.92,-3.65%,$9.15B
14,Avalanche,AVAX,$20.65,-4.79%,$8.71B
15,Stellar,XLM,$0.2650,-2.91%,$8.26B
16,Bitcoin Cash,BCH,$411.77,0.55%,$8.18B
17,UNUS SED LEO,LEO,$8.75,-4.93%,$8.09B
18,Toncoin,TON,$3.10,-6.03%,$7.65B
19,Shiba Inu,SHIB,$0.00001261,-5.23%,$7.43B
20,Hedera,HBAR,$0.1654,-5.79%,$6.99B
21,Litecoin,LTC,$86.94,-3.39%,$6.6B
22,Polkadot,DOT,$4.06,-2.69%,$6.44B
23,Monero,XMR,$327.37,-0.73%,$6.04B
24,Bitget Token,BGB,$4.74,-4.17%,$5.55B
25,Ethena USDe,USDe,$1.00,0.12%,$5.38B
26,Dai,DAI,$0.9998,0.01%,$5.36B
27,Pepe,PEPE,$0.00001158,-10.43%,$4.87B
28,Pi,PI,$0.6361,-6.34%,$4.63B
29,Uniswap,UNI,$6.08,-8.07%,$3.83B
30,Aave,AAVE,$249.73,0.82%,$3.78B
31,Bittensor,TAO,$404.13,-0.47%,$3.54B
32,OKB,OKB,$50.21,-1.75%,$3.01B
33,NEAR Protocol,NEAR,$2.44,-6.59%,$2.99B
34,Aptos,APT,$4.73,-7.34%,$2.98B
35,Cronos,CRO,$0.1050,7.75%,$2.79B
36,Ondo,ONDO,$0.8230,-4.31%,$2.6B
37,Ethereum Classic,ETC,$16.94,-3.41%,$2.58B
38,Internet Computer,ICP,$4.82,-3.82%,$2.58B
39,GateToken,GT,$19.25,-2.45%,$2.37B
40,Mantle,MNT,$0.6711,-0.94%,$2.26B
41,Kaspa,KAS,$0.08600,-7.24%,$2.26B
42,POL (prev. MATIC),POL,$0.2111,-4.22%,$2.2B
43,OFFICIAL TRUMP,TRUMP,$11.02,-3.52%,$2.2B
44,World Liberty Financial USD,USD1,$1.00,-0.05%,$2.18B
45,VeChain,VET,$0.02406,-3.87%,$2.07B
46,Render,RENDER,$3.85,-4.78%,$2B
47,Worldcoin,WLD,$1.15,-5.72%,$1.79B
48,Artificial Superintelligence Alliance,FET,$0.7491,-8.98%,$1.79B
49,Ethena,ENA,$0.3055,-11.07%,$1.78B
50,Filecoin,FIL,$2.55,-4.06%,$1.72B
51,Cosmos,ATOM,$4.32,-2.37%,$1.69B
52,Algorand,ALGO,$0.1941,-4.61%,$1.67B
53,Arbitrum,ARB,$0.3416,-7.25%,$1.66B
54,First Digital USD,FDUSD,$0.9984,0.02%,$1.66B
55,Sky,SKY,$0.06581,-1.02%,$1.61B
56,Jupiter,JUP,$0.5243,-6.07%,$1.52B
57,Celestia,TIA,$2.18,-7.60%,$1.43B
58,KuCoin Token,KCS,$11.26,-0.46%,$1.41B
