Rank,Name,Symbol,Price,24h%Change,MarketCap
1,Bitcoin,BTC,"$104,175.4898",-1.25%,$2.07T
2,Ethereum,ETH,"$2,536.97279",-2.14%,$306.27B
3,Tether USDt,USDT,$1.0003,0.03%,$153.08B
4,XRP,XRP,$2.15989,-1.21%,$126.91B
5,BNB,BNB,$657.96045,-1.96%,$92.70B
6,Solana,SOL,$155.17327,-4.20%,$81.05B
7,USDC,USDC,$0.99991,-0.00%,$61.04B
8,Dogecoin,DOGE,$0.1924,-5.58%,$28.76B
9,TRON,TRX,$0.26911,-1.19%,$25.53B
10,Cardano,ADA,$0.6777,-3.70%,$23.95B
11,Hyperliquid,HYPE,$32.62992,-0.64%,$10.90B
12,Sui,SUI,$3.19013,-7.43%,$10.65B
13,Chainlink,LINK,$13.89519,-3.78%,$9.13B
14,Avalanche,AVAX,$20.61462,-4.87%,$8.69B
15,Stellar,XLM,$0.26485,-2.88%,$8.25B
16,Bitcoin Cash,BCH,$414.95643,1.32%,$8.25B
17,UNUS SED LEO,LEO,$8.75972,-4.93%,$8.09B
18,Toncoin,TON,$3.0994,-6.23%,$7.64B
19,Shiba Inu,SHIB,$0.00001,-5.27%,$7.42B
20,Hedera,HBAR,$0.16498,-5.93%,$6.97B
21,Litecoin,LTC,$86.8907,-3.39%,$6.60B
22,Polkadot,DOT,$4.06798,-2.66%,$6.44B
23,Monero,XMR,$327.51207,-0.64%,$6.04B
24,Bitget Token,BGB,$4.74213,-4.10%,$5.55B
25,Ethena USDe,USDe,$1.001,0.12%,$5.38B
26,Dai,DAI,$0.99985,0.01%,$5.36B
27,Pepe,PEPE,$0.00001,-10.66%,$4.85B
28,Pi,PI,$0.63635,-5.88%,$4.63B
29,Uniswap,UNI,$6.05157,-8.52%,$3.80B
30,Aave,AAVE,$249.77513,0.88%,$3.78B
31,Bittensor,TAO,$403.16376,-0.67%,$3.53B
32,OKB,OKB,$50.2065,-1.73%,$3.01B
33,NEAR Protocol,NEAR,$2.4395,-6.81%,$2.98B
34,Aptos,APT,$4.71451,-7.52%,$2.97B
35,Cronos,CRO,$0.10513,8.47%,$2.79B
36,Ondo,ONDO,$0.8227,-4.13%,$2.60B
37,Ethereum Classic,ETC,$16.94365,-3.38%,$2.58B
38,Internet Computer,ICP,$4.82414,-3.77%,$2.57B
39,GateToken,GT,$19.25249,-2.38%,$2.37B
40,Mantle,MNT,$0.66922,-1.10%,$2.25B
41,Kaspa,KAS,$0.08522,-8.09%,$2.24B
42,POL (prev. MATIC),POL,$0.21128,-4.02%,$2.20B
43,OFFICIAL TRUMP,TRUMP,$10.99037,-3.63%,$2.20B
44,World Liberty Financial USD,USD1,$1.00007,-0.04%,$2.18B
45,VeChain,VET,$0.02402,-3.94%,$2.07B
46,Render,RENDER,$3.84816,-4.88%,$1.99B
47,Artificial Superintelligence Alliance,FET,$0.74967,-8.61%,$1.80B
48,Worldcoin,WLD,$1.15288,-5.78%,$1.79B
49,Ethena,ENA,$0.30358,-11.30%,$1.77B
50,Filecoin,FIL,$2.55662,-3.82%,$1.72B
51,Cosmos,ATOM,$4.32842,-2.21%,$1.69B
52,Algorand,ALGO,$0.19393,-4.61%,$1.67B
53,Arbitrum,ARB,$0.34136,-6.35%,$1.66B
54,First Digital USD,FDUSD,$0.9984,0.02%,$1.66B
55,Sky,SKY,$0.06577,-0.80%,$1.61B
56,Jupiter,JUP,$0.52235,-6.36%,$1.51B
57,Celestia,TIA,$2.1767,-7.78%,$1.42B
58,KuCoin Token,KCS,$11.24708,-0.67%,$1.41B
59,Virtuals Protocol,VIRTUAL,$2.07236,-1.35%,$1.36B
60,Quant,QNT,$107.32021,0.81%,$1.30B
61,Bonk,BONK,$0.00002,-7.10%,$1.30B
62,Injective,INJ,$12.16364,-12.67%,$1.22B
63,DeXe,DEXE,$14.14275,1.14%,$1.18B
64,Sonic,S,$0.39261,-4.84%,$1.13B
65,Stacks,STX,$0.73339,-6.07%,$1.12B
66,Four,FORM,$2.88875,-1.38%,$1.10B
67,Optimism,OP,$0.64043,-8.05%,$1.10B
68,Story,IP,$3.92392,-1.57%,$1.10B
69,Fartcoin,FARTCOIN,$1.09339,-2.67%,$1.09B
70,Flare,FLR,$0.0167,-4.60%,$1.10B
71,Sei,SEI,$0.1923,-5.55%,$1.03B
72,Immutable,IMX,$0.54902,-6.16%,$1.01B
73,Vaulta,A,$0.6267,-11.68%,$983.06M
74,XDC Network,XDC,$0.05963,-1.86%,$966.93M
75,The Graph,GRT,$0.0956,-3.02%,$941.68M
76,PayPal USD,PYUSD,$0.99958,0.01%,$906.23M
77,SPX6900,SPX,$0.97286,-11.38%,$905.72M
78,Curve DAO Token,CRV,$0.66371,-4.60%,$891.61M
79,dogwifhat,WIF,$0.81872,-17.80%,$817.77M
80,Tether Gold,XAUt,"$3,291.79334",-0.29%,$811.51M
81,FLOKI,FLOKI,$0.00008,-8.89%,$802.88M
82,PAX Gold,PAXG,"$3,302.98898",-0.25%,$791.70M
83,Nexo,NEXO,$1.22471,0.15%,$791.34M
84,Zcash,ZEC,$46.97587,-9.22%,$782.07M
85,JasmyCoin,JASMY,$0.0154,-3.87%,$761.60M
86,Ethereum Name Service,ENS,$20.82367,-5.58%,$758.87M
87,Theta Network,THETA,$0.7552,-4.85%,$755.20M
88,PancakeSwap,CAKE,$2.29045,-5.65%,$737.69M
89,Gala,GALA,$0.01648,-5.85%,$736.79M
90,Lido DAO,LDO,$0.81914,-15.02%,$735.14M
91,Raydium,RAY,$2.50671,-3.61%,$723.40M
92,Core,CORE,$0.70722,-6.86%,$708.95M
93,The Sandbox,SAND,$0.27087,-4.48%,$687.55M
94,IOTA,IOTA,$0.18002,-5.14%,$684.88M
95,BitTorrent [New],BTT,$0,-2.94%,$672.14M
96,Pendle,PENDLE,$4.08675,-0.47%,$663.54M
97,Bitcoin SV,BSV,$33.37327,-2.48%,$663.21M
98,Pyth Network,PYTH,$0.11504,-5.67%,$661.46M
99,Walrus,WAL,$0.49289,-11.57%,$648.36M
100,Kaia,KAIA,$0.10467,-4.57%,$631.31M
101,Pudgy Penguins,PENGU,$0.00997,-9.81%,$626.97M
102,Helium,HNT,$3.2604,-4.00%,$597.87M
103,Tezos,XTZ,$0.569,-3.81%,$594.88M
104,Polyhedra Network,ZKJ,$2.00873,-0.23%,$588.28M
105,THORChain,RUNE,$1.66306,-4.34%,$584.51M
106,Flow,FLOW,$0.36233,-3.19%,$574.61M
107,Onyxcoin,XCN,$0.01694,-0.25%,$567.66M
108,Jito,JTO,$1.66689,-1.57%,$557.29M
109,Decentraland,MANA,$0.27399,-1.78%,$539.69M
110,Brett (Based),BRETT,$0.05141,-11.72%,$509.50M
111,AB,AB,$0.00823,7.96%,$501.01M
112,TrueUSD,TUSD,$0.99862,0.02%,$494.83M
113,Zebec Network,ZBCN,$0.00603,-9.73%,$477.11M
114,KAITO,KAITO,$1.91497,-4.35%,$462.25M
115,DeepBook Protocol,DEEP,$0.14585,-5.93%,$459.57M
116,ApeCoin,APE,$0.60679,-11.05%,$456.70M
117,Kava,KAVA,$0.41945,3.91%,$454.20M
118,Dog (Bitcoin),DOG,$0.00448,1.95%,$447.80M
119,Grass,GRASS,$1.81504,-5.53%,$442.70M
120,Aethir,ATH,$0.04819,-9.33%,$437.76M
121,MultiversX,EGLD,$15.18078,-6.04%,$429.20M
122,Aerodrome Finance,AERO,$0.51929,-2.98%,$429.10M
123,AIOZ Network,AIOZ,$0.35965,-7.75%,$424.29M
124,APENFT,NFT,$0,-0.72%,$423.22M
125,Arweave,AR,$6.38264,-7.83%,$419.04M
126,dYdX,DYDX,$0.53657,-7.10%,$416.75M
127,Starknet,STRK,$0.13286,-6.56%,$412.92M
128,Neo,NEO,$5.84324,-5.53%,$412.18M
